,Vk
0,-0.16162808239459991
1,0.11284428834915161
2,0.06309914588928223
3,-0.011792793869972229
4,-0.11592283099889755
5,0.009915333241224289
6,-0.025459889322519302
7,-0.1632288098335266
8,0.08821924775838852
9,-0.0851154774427414
10,0.2747194766998291
11,-0.05999872088432312
12,-0.2255656123161316
13,-0.1448495090007782
14,-0.02519047260284424
15,0.13929441571235657
16,-0.1663598120212555
17,-0.1847665160894394
18,-0.07460762560367584
19,-0.07458800822496414
20,-0.06053949519991875
21,-0.010824985802173615
22,0.04649532213807106
23,0.06307968497276306
24,-0.1833788901567459
25,-0.3710537850856781
26,-0.040118809789419174
27,-0.1511138379573822
28,-0.04638149216771126
29,-0.1391916424036026
30,-0.0030242130160331726
31,0.08218525350093842
32,-0.21560248732566833
33,-0.03365430235862732
34,-0.04023811221122742
35,0.11606582999229431
36,-0.02663421630859375
37,0.001786511391401291
38,0.1853484809398651
39,-0.03693626821041107
40,-0.16262198984622955
41,0.05919967591762543
42,0.010575849562883377
43,0.27213385701179504
44,0.182628333568573
45,-0.006077013909816742
46,-0.0011992305517196655
47,-0.07915827631950378
48,0.10828681290149689
49,-0.2241472601890564
50,0.04654376208782196
51,0.1187254786491394
52,0.05088363587856293
53,0.05731873959302902
54,0.0015350300818681717
55,-0.11246093362569809
56,0.015233458951115608
57,0.06623771041631699
58,-0.18982702493667603
59,0.0397169291973114
60,-0.013747976161539555
61,-0.16295117139816284
62,-0.0585453063249588
63,0.01132297795265913
64,0.2191796749830246
65,0.13906048238277435
66,-0.058009929955005646
67,-0.10636936873197556
68,0.16646510362625122
69,-0.11012336611747742
70,-0.056097254157066345
71,0.09626321494579315
72,-0.08661779761314392
73,-0.16976916790008545
74,-0.3039078116416931
75,0.08297069370746613
76,0.4279911518096924
77,0.07968094944953918
78,-0.2529338598251343
79,0.012956012040376663
80,-0.08162166178226471
81,-0.0074177756905555725
82,0.08584306389093399
83,0.08652971684932709
84,-0.047721974551677704
85,-0.04405072331428528
86,-0.15622389316558838
87,0.07629479467868805
88,0.16459521651268005
89,-0.019876055419445038
90,-0.08073686808347702
91,0.20751544833183289
92,0.025398382917046547
93,0.042556796222925186
94,0.1419987678527832
95,0.12465471774339676
96,-0.08616478741168976
97,-0.0033495724201202393
98,-0.11892059445381165
99,-0.03609567880630493
100,0.13627898693084717
101,-0.04743865132331848
102,-0.02912738174200058
103,0.052653443068265915
104,-0.11844560503959656
105,0.17185889184474945
106,0.008752914145588875
107,-0.017403116449713707
108,0.01609564572572708
109,-0.013824019581079483
110,-0.0017206445336341858
111,-0.030688811093568802
112,0.13604246079921722
113,-0.3059254586696625
114,0.24455830454826355
115,0.14221258461475372
116,-0.05986430495977402
117,0.2152707576751709
118,0.04327945411205292
119,0.06046731024980545
120,-0.0715414434671402
121,-0.03972741216421127
122,-0.10779498517513275
123,-0.10009504109621048
124,0.08869773149490356
125,0.03516177833080292
126,0.09865458309650421
127,0.046165309846401215
