,f
0,-0.143611878156662
1,0.1455114781856537
2,0.15391337871551514
3,-0.022880442440509796
4,-0.06320442259311676
5,-0.06378896534442902
6,-0.04210034757852554
7,-0.10391679406166077
8,0.13653476536273956
9,-0.12402749061584473
10,0.26049283146858215
11,-0.023722749203443527
12,-0.180408775806427
13,-0.11646385490894318
14,0.06146124005317688
15,0.16993236541748047
16,-0.10724083334207535
17,-0.1401599496603012
18,-0.02547352761030197
19,-0.0508238859474659
20,-0.05384580418467522
21,-0.07752577215433121
22,0.05224628001451492
23,0.12093593180179596
24,-0.0818621814250946
25,-0.3743417263031006
26,-0.10438421368598938
27,-0.10889560729265213
28,0.07356896996498108
29,-0.062697634100914
30,-0.06892948597669601
31,0.017834946513175964
32,-0.23142115771770477
33,-0.04703584685921669
34,-0.0634424164891243
35,0.131981760263443
36,-0.051010772585868835
37,-0.030528590083122253
38,0.19493255019187927
39,-0.011479545384645462
40,-0.17191538214683533
41,-0.0458831787109375
42,-0.04960693418979645
43,0.23409046232700348
44,0.1906798779964447
45,0.015490807592868805
46,0.05481211096048355
47,-0.0025576800107955933
48,0.07821069657802582
49,-0.21917083859443665
50,0.09521039575338364
51,0.1309177577495575
52,0.09286833554506302
53,0.05923129618167877
54,-0.006390806287527084
55,-0.13409489393234253
56,0.006916528567671776
57,0.06142933666706085
58,-0.13663798570632935
59,0.020937323570251465
60,0.042343657463788986
61,-0.11064224690198898
62,-0.09798862785100937
63,-0.045354701578617096
64,0.2594587206840515
65,0.1740153282880783
66,-0.09461520612239838
67,-0.11114167422056198
68,0.16693471372127533
69,-0.1571687012910843
70,-0.029047414660453796
71,0.01601443439722061
72,-0.12994752824306488
73,-0.09314058721065521
74,-0.34521761536598206
75,0.08729955554008484
76,0.37786248326301575
77,0.1454533040523529
78,-0.1712358146905899
79,0.02851252630352974
80,-0.13462340831756592
81,0.024242065846920013
82,-0.008226826786994934
83,0.08228293061256409
84,-0.11660048365592957
85,0.04057592526078224
86,-0.08407597243785858
87,0.036724500358104706
88,0.1101430356502533
89,-0.0027136504650115967
90,-0.0126617681235075
91,0.17791473865509033
92,-0.03348483517765999
93,0.11435854434967041
94,0.0294414721429348
95,0.005261778831481934
96,-0.04236920177936554
97,-0.052798666059970856
98,-0.10560533404350281
99,-0.018202900886535645
100,0.05669088661670685
101,-0.08084017783403397
102,-0.001247510313987732
103,0.09814402461051941
104,-0.26018649339675903
105,0.15488573908805847
106,0.01715743914246559
107,0.02946510538458824
108,0.07352174818515778
109,0.13680273294448853
110,-0.1359502375125885
111,-0.1064954400062561
112,0.14697274565696716
113,-0.20629604160785675
114,0.2033030092716217
115,0.21755006909370422
116,-0.016378968954086304
117,0.13370674848556519
118,0.1437504142522812
119,0.12681348621845245
120,-0.045817550271749496
121,-0.03764249384403229
122,-0.11755616217851639
123,-0.04723130166530609
124,0.07575833797454834
125,-0.01763921231031418
126,0.053601253777742386
127,0.07625985890626907
