,c
0,-0.12218843400478363
1,0.023838765919208527
2,0.034308917820453644
3,-0.02489413321018219
4,-0.04514578729867935
5,-0.04398821294307709
6,-0.03625497967004776
7,-0.11087390035390854
8,0.12592081725597382
9,-0.08578132092952728
10,0.1854792684316635
11,-0.034608449786901474
12,-0.1529359072446823
13,-0.10853813588619232
14,-0.11488427966833115
15,0.08543786406517029
16,-0.1599709540605545
17,-0.1362578421831131
18,-0.03248336911201477
19,-0.10641121864318848
20,-0.027970759198069572
21,-0.0028141774237155914
22,0.0015343353152275085
23,-0.021377891302108765
24,-0.10080616921186447
25,-0.3275009095668793
26,-0.0947621688246727
27,-0.14195159077644348
28,0.0809282585978508
29,-0.02637522667646408
30,-0.03021063283085823
31,0.026718497276306152
32,-0.26338714361190796
33,-0.10353618860244751
34,-0.017284153029322624
35,0.12081451714038849
36,0.01623062789440155
37,0.013309238478541374
38,0.1881006509065628
39,0.09980243444442749
40,-0.08041708171367645
41,0.012458041310310364
42,0.0637175664305687
43,0.3180781304836273
44,0.16477283835411072
45,0.0904674082994461
46,0.023171469569206238
47,0.002129010856151581
48,0.06867692619562149
49,-0.18998770415782928
50,0.07992660999298096
51,0.10995572805404663
52,0.22852161526679993
53,0.03720161318778992
54,0.02800113335251808
55,-0.13035494089126587
56,0.00832747295498848
57,0.036398522555828094
58,-0.1904359608888626
59,0.09510867297649384
60,0.06505917757749557
61,-0.007308922708034515
62,-0.06270024925470352
63,0.028007667511701584
64,0.29108306765556335
65,0.12182004749774933
66,-0.06406992673873901
67,-0.07435628771781921
68,0.27336663007736206
69,-0.1408848613500595
70,-0.021855289116501808
71,-0.0016556866466999054
72,-0.06587867438793182
73,-0.09011801332235336
74,-0.24866324663162231
75,0.07053433358669281
76,0.4293137788772583
77,0.12417706847190857
78,-0.13011719286441803
79,0.01989569701254368
80,-0.1632850468158722
81,-0.031882673501968384
82,0.036278121173381805
83,-0.006285249255597591
84,-0.10751429945230484
85,0.053525157272815704
86,-0.06935153901576996
87,0.012695933692157269
88,0.1748569756746292
89,0.02602570503950119
90,-0.06707784533500671
91,0.09215079993009567
92,-0.0017128759063780308
93,-0.01613660529255867
94,0.05488748848438263
95,-0.012410253286361694
96,-0.09042657166719437
97,-0.011638902127742767
98,-0.13236087560653687
99,-0.05607260763645172
100,0.04603460058569908
101,-0.11713648587465286
102,0.03457864373922348
103,0.10125367343425751
104,-0.20429806411266327
105,0.10449281334877014
106,0.0026703772600740194
107,-0.09795622527599335
108,-0.0006604120135307312
109,0.07205992937088013
110,-0.08572860807180405
111,-0.029373539611697197
112,0.15034592151641846
113,-0.25195586681365967
114,0.21962279081344604
115,0.17198151350021362
116,-0.005175933241844177
117,0.17321354150772095
118,0.07894041389226913
119,0.06821288168430328
120,-0.002853531390428543
121,-0.008056432008743286
122,-0.11017614603042603
123,-0.17792952060699463
124,-0.04620504379272461
125,-0.006142519414424896
126,0.10736726969480515
127,0.09322214126586914
