,g
0,-0.18678924441337585
1,0.1479995846748352
2,0.04751841723918915
3,-0.02372882515192032
4,-0.08784253895282745
5,-0.033936552703380585
6,0.00084670539945364
7,-0.06531013548374176
8,0.13079556822776794
9,0.005420409142971039
10,0.24346108734607697
11,-0.0509364940226078
12,-0.26423579454421997
13,-0.1125224158167839
14,-0.03025265596807003
15,0.07509967684745789
16,-0.09970461577177048
17,-0.09013877063989639
18,0.005560450255870819
19,-0.08536350727081299
20,0.08566635847091675
21,-0.012514270842075348
22,0.09280756115913391
23,0.10380584746599197
24,-0.1280895173549652
25,-0.39896294474601746
26,-0.07370955497026443
27,-0.1140294224023819
28,0.08562753349542618
29,-0.06205866485834122
30,-0.006419610232114792
31,-0.0483027845621109
32,-0.20366494357585907
33,-0.08182986080646515
34,-0.034917742013931274
35,0.11010661721229553
36,-0.021606355905532837
37,-0.09971275180578232
38,0.20972758531570435
39,-0.06318105757236481
40,-0.10908853262662888
41,-0.08002745360136032
42,0.043749287724494934
43,0.2766645550727844
44,0.088597372174263
45,0.03263109549880028
46,0.08883550018072128
47,-0.04252585023641586
48,0.09613682329654694
49,-0.18154887855052948
50,0.1046154797077179
51,0.13080455362796783
52,0.12373687326908112
53,0.012999620288610458
54,0.02942240983247757
55,-0.09225623309612274
56,0.017546728253364563
57,0.14642281830310822
58,-0.22227314114570618
59,0.04252897948026657
60,0.051699575036764145
61,0.026102259755134583
62,-0.04565713182091713
63,-0.07544426620006561
64,0.25595954060554504
65,0.13726454973220825
66,-0.1310439109802246
67,-0.09078715741634369
68,0.06242327764630318
69,-0.18913216888904572
70,-0.004110172390937805
71,0.06073186919093132
72,-0.08371828496456146
73,-0.16140848398208618
74,-0.27602142095565796
75,0.10089366883039474
76,0.4130752682685852
77,0.15104392170906067
78,-0.14190223813056946
79,-0.0040197353810071945
80,-0.11470311880111694
81,-0.010749280452728271
82,0.0913500040769577
83,0.04004041478037834
84,-0.13859033584594727
85,0.04584156721830368
86,-0.1636115312576294
87,0.05273962393403053
88,0.16043570637702942
89,-0.0020175576210021973
90,-0.06595184653997421
91,0.1819944977760315
92,0.042905427515506744
93,0.07376886904239655
94,0.04174052178859711
95,0.08120742440223694
96,-0.14773225784301758
97,0.017174378037452698
98,-0.049442775547504425
99,0.04474397003650665
100,0.0777817964553833
101,-0.07900071144104004
102,0.01915859431028366
103,0.035533830523490906
104,-0.1863172948360443
105,0.1035136878490448
106,0.013773057609796524
107,-0.017780756577849388
108,0.02754267305135727
109,0.005651440471410751
110,-0.1526823341846466
111,-0.08907656371593475
112,0.11652529239654541
113,-0.25892123579978943
114,0.14893899857997894
115,0.12497410923242569
116,-0.00601225346326828
117,0.2087308168411255
118,0.10778828710317612
119,0.07833680510520935
120,0.008524157106876373
121,-0.03491505980491638
122,-0.06766346842050552
123,-0.05541519075632095
124,0.07886359095573425
125,-0.0437876433134079
126,0.12939010560512543
127,0.0029413490556180477
