,b
0,-0.09386851638555527
1,0.10442887246608734
2,0.05008251965045929
3,-0.05754627287387848
4,-0.028232533484697342
5,-0.007697246968746185
6,-0.050368040800094604
7,-0.08929778635501862
8,0.24658185243606567
9,-0.11753256618976593
10,0.19408181309700012
11,0.031179849058389664
12,-0.13683611154556274
13,-0.11282647401094437
14,-0.04468144103884697
15,0.11049499362707138
16,-0.08665063977241516
17,-0.19827575981616974
18,-0.07572527974843979
19,-0.1487458199262619
20,-0.00018908921629190445
21,-0.0049725547432899475
22,0.012250810861587524
23,0.04384128749370575
24,-0.14612509310245514
25,-0.35795867443084717
26,-0.09433811157941818
27,-0.13137352466583252
28,0.07501191645860672
29,-0.03868373483419418
30,-0.029804639518260956
31,0.07403240352869034
32,-0.24987635016441345
33,-0.07684989273548126
34,0.032411977648735046
35,0.04779255390167236
36,0.12653954327106476
37,0.02651827037334442
38,0.1744639277458191
39,0.06968937069177628
40,-0.11283551901578903
41,-0.04777706414461136
42,0.04254627972841263
43,0.24794478714466095
44,0.15563945472240448
45,0.015426352620124817
46,0.0331188403069973
47,-0.02973921224474907
48,0.08660289645195007
49,-0.12817791104316711
50,0.09488849341869354
51,0.15887640416622162
52,0.14419150352478027
53,0.02544153481721878
54,0.11031553149223328
55,-0.08677046746015549
56,0.02393925189971924
57,0.03876667469739914
58,-0.1876915693283081
59,0.06693173944950104
60,0.0483742281794548
61,-0.04013916477560997
62,-0.1403312087059021
63,-0.0007391553372144699
64,0.2135193794965744
65,0.12052557617425919
66,-0.07429801672697067
67,-0.16384559869766235
68,0.21348869800567627
69,-0.12193173915147781
70,0.00029523391276597977
71,0.0167367085814476
72,-0.1019764319062233
73,-0.06979815661907196
74,-0.2746337652206421
75,0.05702570080757141
76,0.45535218715667725
77,0.16631150245666504
78,-0.22924381494522095
79,0.08429044485092163
80,-0.15783748030662537
81,-0.05052195116877556
82,0.03190809115767479
83,0.001678335014730692
84,-0.12936043739318848
85,0.05833803862333298
86,-0.06523365527391434
87,0.037302885204553604
88,0.1505236178636551
89,0.11072446405887604
90,-0.05702381581068039
91,0.15547475218772888
92,-0.05054493248462677
93,0.009079164825379848
94,0.048399075865745544
95,0.05013483762741089
96,-0.13903582096099854
97,-0.06891001015901566
98,-0.13708212971687317
99,-0.09101557731628418
100,0.0287613645195961
101,-0.028725899755954742
102,-0.01702253520488739
103,0.10414490848779678
104,-0.21580392122268677
105,0.09263608604669571
106,-0.014021148905158043
107,-0.05248712748289108
108,-0.03380947187542915
109,0.132450670003891
110,-0.09973898530006409
111,-0.0839122086763382
112,0.11225110292434692
113,-0.19819656014442444
114,0.13951881229877472
115,0.11372082680463791
116,-0.0075913891196250916
117,0.14155720174312592
118,0.09051969647407532
119,0.07641704380512238
120,0.01183972880244255
121,-0.04381635785102844
122,-0.06523628532886505
123,-0.15584826469421387
124,-0.012813158333301544
125,-0.051113419234752655
126,0.07755730301141739
127,0.04346643015742302
