,v3
0,-0.04985475540161133
1,0.030646903440356255
2,0.05898474156856537
3,-0.11815769225358963
4,-0.08666928857564926
5,0.002896953374147415
6,-0.003173637203872204
7,-0.13685889542102814
8,0.2556110620498657
9,-0.12055455148220062
10,0.12990118563175201
11,-0.007563229650259018
12,-0.244119331240654
13,0.035351842641830444
14,-0.1249384731054306
15,0.15821069478988647
16,-0.11448948085308075
17,-0.16433705389499664
18,-0.050851184874773026
19,-0.03350992128252983
20,-0.03116876259446144
21,0.04891981557011604
22,0.03444128856062889
23,0.027977541089057922
24,-0.08267422020435333
25,-0.2585351765155792
26,-0.07207950949668884
27,-0.04437512904405594
28,-0.07676611840724945
29,-0.09708195924758911
30,-0.026736006140708923
31,0.05330224335193634
32,-0.20065650343894958
33,-0.0056132301688194275
34,0.06615588068962097
35,0.15687167644500732
36,-0.04643259942531586
37,-0.11029539257287979
38,0.1479327231645584
39,0.03145279735326767
40,-0.23324784636497498
41,-0.10729075968265533
42,0.02212446555495262
43,0.2546456456184387
44,0.2059052586555481
45,-0.02145273983478546
46,-0.06646288931369781
47,-0.14438003301620483
48,0.10132671892642975
49,-0.2884426712989807
50,0.04622958227992058
51,0.07269784808158875
52,0.02650713175535202
53,0.017527887597680092
54,0.012016312219202518
55,-0.15624721348285675
56,0.03905981406569481
57,0.1627403348684311
58,-0.15387319028377533
59,-0.019232425838708878
60,0.04263529181480408
61,-0.17388767004013062
62,-0.04595600441098213
63,-0.01550357323139906
64,0.2531905174255371
65,0.12817132472991943
66,-0.1439686417579651
67,-0.10356131196022034
68,0.120945505797863
69,-0.16284598410129547
70,-0.0015231939032673836
71,0.04596596956253052
72,-0.07473338395357132
73,-0.1960648149251938
74,-0.27086588740348816
75,-0.01774115115404129
76,0.46509915590286255
77,0.11743264645338058
78,-0.15419664978981018
79,0.05189960449934006
80,-0.11376261711120605
81,0.08015855401754379
82,0.11063383519649506
83,0.14962154626846313
84,-0.05179811269044876
85,0.07753694802522659
86,-0.11244885623455048
87,0.01667676493525505
88,0.20477314293384552
89,-0.08947267383337021
90,-0.07034118473529816
91,0.1931290328502655
92,-0.08457058668136597
93,0.03315906226634979
94,0.024544764310121536
95,0.04560968279838562
96,-0.062273215502500534
97,0.022319093346595764
98,-0.15094509720802307
99,-0.07856741547584534
100,0.06724987179040909
101,-0.003314971923828125
102,0.033452603965997696
103,0.15202365815639496
104,-0.20537534356117249
105,0.0563729889690876
106,0.012143604457378387
107,-0.05741582438349724
108,0.10507431626319885
109,-0.08709722012281418
110,-0.023701095953583717
111,-0.12946994602680206
112,0.15119662880897522
113,-0.3068235218524933
114,0.1267673820257187
115,0.15044735372066498
116,-0.028501026332378387
117,0.20807881653308868
118,0.046147603541612625
119,0.08198957145214081
120,0.024656273424625397
121,-0.05585283041000366
122,-0.116758793592453
123,0.023580199107527733
124,0.061983831226825714
125,0.06707814335823059
126,0.09762111306190491
127,-0.01130317896604538
