,v1
0,0.021328456699848175
1,0.037148233503103256
2,0.059587154537439346
3,-0.13127024471759796
4,-0.12339212000370026
5,0.03495943918824196
6,-0.051036983728408813
7,-0.18205934762954712
8,0.24358977377414703
9,-0.18339775502681732
10,0.15169790387153625
11,-0.012800874188542366
12,-0.17773164808750153
13,0.014521405100822449
14,-0.09956040978431702
15,0.15422087907791138
16,-0.18476513028144836
17,-0.16255857050418854
18,-0.03556166589260101
19,-0.04138322174549103
20,0.012400452047586441
21,0.06673865020275116
22,0.05232781916856766
23,0.02897755801677704
24,-0.10546908527612686
25,-0.2691923677921295
26,-0.0953732579946518
27,-0.06465859711170197
28,0.04072347283363342
29,-0.05151425302028656
30,-0.007264971733093262
31,0.04304170608520508
32,-0.19695115089416504
33,0.02802690863609314
34,0.03464287519454956
35,0.19270263612270355
36,-0.055286407470703125
37,-0.12737667560577393
38,0.12525048851966858
39,-0.017951596528291702
40,-0.20234714448451996
41,-0.08481991291046143
42,-0.02083417773246765
43,0.20861268043518066
44,0.18083763122558594
45,-0.025393664836883545
46,-0.0268649160861969
47,-0.1295360028743744
48,0.06702708452939987
49,-0.2557240426540375
50,0.03670690208673477
51,0.08925139904022217
52,0.011475637555122375
53,0.040942393243312836
54,0.042285479605197906
55,-0.13282325863838196
56,0.047127094119787216
57,0.16514183580875397
58,-0.14152131974697113
59,-0.00702996551990509
60,0.06324987858533859
61,-0.11457724869251251
62,-0.0018678819760680199
63,-0.05524769425392151
64,0.27404025197029114
65,0.09190025180578232
66,-0.1466069221496582
67,-0.1033947542309761
68,0.11092356592416763
69,-0.16168785095214844
70,-0.04517132788896561
71,0.040160443633794785
72,-0.09059762209653854
73,-0.16354767978191376
74,-0.2637821435928345
75,-0.05058381333947182
76,0.4844641089439392
77,0.1352088302373886
78,-0.17306888103485107
79,0.03956560045480728
80,-0.08198293298482895
81,0.057861216366291046
82,0.14387311041355133
83,0.12031252682209015
84,-0.010153546929359436
85,0.06541286408901215
86,-0.1280965805053711
87,0.044516757130622864
88,0.19407889246940613
89,-0.12416219711303711
90,-0.04435493052005768
91,0.21362410485744476
92,-0.07886488735675812
93,0.050525419414043427
94,0.007256720215082169
95,0.037542179226875305
96,-0.05067642778158188
97,0.05619905889034271
98,-0.1330202966928482
99,-0.029681093990802765
100,0.06645943224430084
101,0.01237640529870987
102,0.004784993827342987
103,0.13185705244541168
104,-0.13429415225982666
105,0.1042417585849762
106,0.010542520321905613
107,-0.049579523503780365
108,0.09666191786527634
109,-0.06949058175086975
110,-0.11298435926437378
111,-0.11974670737981796
112,0.22300398349761963
113,-0.3029211163520813
114,0.1306563764810562
115,0.17148034274578094
116,-0.025090157985687256
117,0.20201325416564941
118,0.06220673397183418
119,0.12401237338781357
120,-0.0066118016839027405
121,-0.07767829298973083
122,-0.1630641669034958
123,-5.383044481277466e-05
124,0.04247530549764633
125,0.001991450786590576
126,0.06308284401893616
127,0.0013119988143444061
